"object_id","object_label","object_type","construction_stage","required_source_family","analytical_role","admissibility_status","blocking_reason","notes"
"omega_CORP","omega CORP","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","preferred_distributive_state","preferred_baseline_pending","","Unadjusted wage share is the first-pass baseline while the current-release protocol is blocked."
"omega_NFC","omega NFC","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","preferred_distributive_state","preferred_baseline_pending","","Unadjusted wage share is the first-pass baseline while the current-release protocol is blocked."
"pi_res_CORP","pi res CORP","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","residual_profit_share","downstream_constructed_pending","","Registered only; no distributive variable is constructed in S10."
"pi_res_NFC","pi res NFC","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","residual_profit_share","downstream_constructed_pending","","Registered only; no distributive variable is constructed in S10."
"GOV_TRANS_growth","GOV TRANS growth","downstream_owned_object","S20_frontier_conditioning","GOV_TRANS fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","GOV_TRANS is excluded from private K_cap and retained as a frontier conditioner."
"GOV_TRANS_stock","GOV TRANS stock","downstream_owned_object","S20_frontier_conditioning","GOV_TRANS fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","GOV_TRANS is excluded from private K_cap and retained as a frontier conditioner."
"GOV_TRANS_to_Kcap","GOV TRANS to Kcap","downstream_owned_object","S20_frontier_conditioning","GOV_TRANS fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","GOV_TRANS is excluded from private K_cap and retained as a frontier conditioner."
"GOV_TRANS_to_ME","GOV TRANS to ME","downstream_owned_object","S20_frontier_conditioning","GOV_TRANS fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","GOV_TRANS is excluded from private K_cap and retained as a frontier conditioner."
"GOV_TRANS_to_NRC","GOV TRANS to NRC","downstream_owned_object","S20_frontier_conditioning","GOV_TRANS fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","GOV_TRANS is excluded from private K_cap and retained as a frontier conditioner."
"IPP_growth","IPP growth","downstream_owned_object","S20_frontier_conditioning","IPP fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","IPP is excluded from K_cap and retained as a frontier conditioner."
"IPP_share_capital_plus_IPP","IPP share capital plus IPP","downstream_owned_object","S20_frontier_conditioning","IPP fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","IPP is excluded from K_cap and retained as a frontier conditioner."
"IPP_share_total_fixed_assets","IPP share total fixed assets","downstream_owned_object","S20_frontier_conditioning","IPP fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","IPP is excluded from K_cap and retained as a frontier conditioner."
"IPP_stock","IPP stock","downstream_owned_object","S20_frontier_conditioning","IPP fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","IPP is excluded from K_cap and retained as a frontier conditioner."
"IPP_to_Kcap","IPP to Kcap","downstream_owned_object","S20_frontier_conditioning","IPP fixed-assets ingredients","frontier_conditioner","frontier_conditioner_pending","","IPP is excluded from K_cap and retained as a frontier conditioner."
"K_G_NFC_KCAP_GPIM","K G NFC KCAP GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"K_G_NFC_ME_GPIM","K G NFC ME GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"K_G_NFC_NRC_GPIM","K G NFC NRC GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"K_N_NFC_KCAP_GPIM","K N NFC KCAP GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"K_N_NFC_ME_GPIM","K N NFC ME GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"K_N_NFC_NRC_GPIM","K N NFC NRC GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"P_K_NFC_ME_GPIM","P K NFC ME GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"P_K_NFC_NRC_GPIM","P K NFC NRC GPIM","downstream_owned_object","S20_GPIM_construction","NFC fixed-assets stock, investment, and CFC","GPIM_capital_object","downstream_constructed_pending","","Registered only; S10 does not construct GPIM stocks or prices."
"q_e_h1_Kcap","Inherited one-period exploitation-rate accumulated Kcap index","downstream_owned_object","S30_A00_variable_construction","K_cap growth and unadjusted exploitation-rate proxy","alternative_proxy_accumulated_index_robustness","alternative_proxy_pending","","Exploitation-rate alternative-proxy robustness object; not constructed in S10."
"q_e_h3_Kcap","Three-year exploitation-rate accumulated Kcap index","downstream_owned_object","S30_A00_variable_construction","K_cap growth and unadjusted exploitation-rate proxy","alternative_proxy_accumulated_index_robustness","alternative_proxy_pending","","Exploitation-rate alternative-proxy robustness object; not constructed in S10."
"q_e_h5_Kcap","Five-year exploitation-rate accumulated Kcap index","downstream_owned_object","S30_A00_variable_construction","K_cap growth and unadjusted exploitation-rate proxy","alternative_proxy_accumulated_index_robustness","alternative_proxy_pending","","Exploitation-rate alternative-proxy robustness object; not constructed in S10."
"q_omega_h1_Kcap","Inherited one-period wage-share accumulated Kcap index","downstream_owned_object","S30_A00_variable_construction","K_cap growth and unadjusted wage share","preferred_A00_accumulated_index","preferred_baseline_pending","","Preferred A00 inherited one-period wage-share state; not constructed in S10."
"q_omega_h3_Kcap","Three-year wage-share accumulated Kcap index","downstream_owned_object","S30_A00_variable_construction","K_cap growth and unadjusted wage share","preferred_A00_accumulated_index_robustness","robustness_pending","","Restricted three-year wage-share robustness state; not constructed in S10."
"q_omega_h5_Kcap","Five-year wage-share accumulated Kcap index","downstream_owned_object","S30_A00_variable_construction","K_cap growth and unadjusted wage share","preferred_A00_accumulated_index_robustness","robustness_pending","","Restricted five-year wage-share robustness state; not constructed in S10."
"e_x_Kcap","e x Kcap","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"e_x_ME","e x ME","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"e_x_ME_NRC_gap","e x ME NRC gap","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"e_x_NRC","e x NRC","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"omega_x_Kcap","omega x Kcap","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"omega_x_ME","omega x ME","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"omega_x_ME_NRC_gap","omega x ME NRC gap","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
"omega_x_NRC","omega x NRC","downstream_owned_object","S30_superseded_diagnostics","Not applicable","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Diagnostic registry only; no level-interaction variable is created."
